,title,company,description,onsite_remote,salary,location,criteria,posted_date,link,Seniority level,Employment type,Job function,Industries,indus_Technology,indus_Information,indus_Internet,indus_Information Services,indus_IT Services,indus_IT Consulting,indus_Hospitals,indus_Health Care,indus_Computer,indus_Network Security,indus_Internet Publishing,indus_Defense,indus_Space Manufacturing,indus_Transportation,indus_Logistics,indus_Supply Chain,indus_Storage,indus_Recreational Facilities,indus_Biotechnology Research,indus_Pharmaceutical Manufacturing,indus_Research Services,indus_Entertainment Providers,indus_Movies,indus_Videos,indus_Sound,indus_Medical Equipment Manufacturing,indus_Insurance,indus_Chemical Manufacturing,indus_Ground Passenger Transportation,indus_Software Development,indus_Staffing,indus_Recruiting,indus_Financial Services,indus_Libraries,indus_Computer Games,indus_Computer Hardware Manufacturing,indus_Business Consulting,indus_Services,indus_Advertising Services,indus_Non-profit Organizations,indus_Nanotechnology Research,indus_Data Infrastructure,indus_Analytics,indus_Manufacturing,indus_Food,indus_Beverage Services,indus_Beverage Manufacturing,indus_Higher Education,indus_Travel Arrangements,indus_Mental Health Care,indus_Strategic Management Services,indus_Hospitality,indus_Real Estate,indus_Oil,indus_Gas,indus_Industrial Machinery Manufacturing,indus_Civic,indus_Social Organizations,indus_Investment Banking,indus_Banking,indus_Investment Management,indus_Online Audio,indus_Video Media,indus_Capital Markets,indus_Retail,indus_Government Administration,indus_Government Relations Services,indus_Mining,indus_Renewable Energy Semiconductor Manufacturing,indus_Newspaper Publishing,indus_Human Resources Services,indus_Accounting,indus_Retail Luxury Goods,indus_Jewelry
168,Machine Learning Ops Engineer at AI image-to-image startup,Ponce AI,Nan,onsite,nan,"San Francisco, CA","[{'Seniority level': 'Entry level'}, {'Employment type': 'Full-time'}, {'Job function': 'Engineering and Information Technology'}, {'Industries': 'Technology, Information and Internet'}]",2023-11-05,https://www.linkedin.com/jobs/view/machine-learning-ops-engineer-at-ai-image-to-image-startup-at-ponce-ai-3758535970?refId=IkkMexNWeroLY4KSfSx3TA%3D%3D&trackingId=1Smh9wesOlTr9BCmwe2xlw%3D%3D&position=20&pageNum=0&trk=public_jobs_jserp-result_search-card,Entry level,Full-time,Engineering and Information Technology,"Technology, Information and Internet",1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
169,Data Scientist,Lockheed Martin,Nan,onsite,nan,"Bethesda, MD","[{'Seniority level': 'Entry level'}, {'Employment type': 'Full-time'}, {'Job function': 'Engineering and Information Technology'}, {'Industries': 'Defense and Space Manufacturing'}]",2023-11-06,https://www.linkedin.com/jobs/view/data-scientist-at-lockheed-martin-3763640658?refId=IkkMexNWeroLY4KSfSx3TA%3D%3D&trackingId=a%2FTpXTmKDZLw7ZBolUfYOQ%3D%3D&position=21&pageNum=0&trk=public_jobs_jserp-result_search-card,Entry level,Full-time,Engineering and Information Technology,Defense and Space Manufacturing,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
170,Data Scientist,FreedomRoads,Nan,onsite,nan,"Lincolnshire, IL","[{'Seniority level': 'Entry level'}, {'Employment type': 'Full-time'}, {'Job function': 'Engineering and Information Technology'}, {'Industries': 'Recreational Facilities'}]",2023-11-21,https://www.linkedin.com/jobs/view/data-scientist-at-freedomroads-3766065104?refId=IkkMexNWeroLY4KSfSx3TA%3D%3D&trackingId=n8WnDKp4auTtGN91RG6Xqg%3D%3D&position=22&pageNum=0&trk=public_jobs_jserp-result_search-card,Entry level,Full-time,Engineering and Information Technology,Recreational Facilities,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
171,"Data Scientist, Product Analytics - Monetization",Meta,Nan,onsite,"$165,000.00-$232,000.00","New York, NY","[{'Seniority level': 'Not Applicable'}, {'Employment type': 'Full-time'}, {'Job function': 'Engineering and Information Technology'}, {'Industries': 'Technology, Information and Internet'}]",2023-11-13,https://www.linkedin.com/jobs/view/data-scientist-product-analytics-monetization-at-meta-3763232687?refId=IkkMexNWeroLY4KSfSx3TA%3D%3D&trackingId=H%2BMHU3Ejw7P7kNJ7hhHEtQ%3D%3D&position=23&pageNum=0&trk=public_jobs_jserp-result_search-card,Not Applicable,Full-time,Engineering and Information Technology,"Technology, Information and Internet",1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
172,Data Scientist,Mayvue Solutions,Nan,onsite,nan,"Pittsburgh, PA","[{'Seniority level': 'Mid-Senior level'}, {'Employment type': 'Full-time'}, {'Job function': 'Engineering and Information Technology'}, {'Industries': 'Internet Publishing'}]",2023-11-06,https://www.linkedin.com/jobs/view/data-scientist-at-mayvue-solutions-3759484273?refId=IkkMexNWeroLY4KSfSx3TA%3D%3D&trackingId=r%2FHPZurmGDCiVKoTw%2B1KEg%3D%3D&position=24&pageNum=0&trk=public_jobs_jserp-result_search-card,Mid-Senior level,Full-time,Engineering and Information Technology,Internet Publishing,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
173,Data Scientist,Experfy,Nan,onsite,nan,"San Diego, CA","[{'Seniority level': 'Mid-Senior level'}, {'Employment type': 'Full-time'}, {'Job function': 'Information Technology'}, {'Industries': 'Technology, Information and Internet'}]",2023-10-07,https://www.linkedin.com/jobs/view/data-scientist-at-experfy-3755398857?refId=rZcm3IreGPq7J0t3flT77w%3D%3D&trackingId=t0eLJKDMzGflmxzuruuSmA%3D%3D&position=1&pageNum=0&trk=public_jobs_jserp-result_search-card,Mid-Senior level,Full-time,Information Technology,"Technology, Information and Internet",1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
174,Data Scientist,Experfy,Nan,onsite,nan,"Seattle, WA","[{'Seniority level': 'Mid-Senior level'}, {'Employment type': 'Full-time'}, {'Job function': 'Information Technology'}, {'Industries': 'Technology, Information and Internet'}]",2023-10-07,https://www.linkedin.com/jobs/view/data-scientist-at-experfy-3755396870?refId=rZcm3IreGPq7J0t3flT77w%3D%3D&trackingId=cKR9VzCjjOwG75ry3UuEWg%3D%3D&position=2&pageNum=0&trk=public_jobs_jserp-result_search-card,Mid-Senior level,Full-time,Information Technology,"Technology, Information and Internet",1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
175,AI/ML Engineer-Data Scientist,Saransh Inc,Nan,onsite,nan,"Los Angeles, CA","[{'Seniority level': 'Mid-Senior level'}, {'Employment type': 'Contract'}, {'Job function': 'Engineering and Information Technology'}, {'Industries': 'Information Services and IT Services and IT Consulting'}]",2023-11-15,https://www.linkedin.com/jobs/view/ai-ml-engineer-data-scientist-at-saransh-inc-3760316009?refId=rZcm3IreGPq7J0t3flT77w%3D%3D&trackingId=9mW6S72K9ZGwSki%2B1k7d7g%3D%3D&position=3&pageNum=0&trk=public_jobs_jserp-result_search-card,Mid-Senior level,Contract,Engineering and Information Technology,Information Services and IT Services and IT Consulting,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
176,"Data Scientist, Small Business Group",Meta,Nan,onsite,"$134,000.00-$194,000.00","Menlo Park, CA","[{'Seniority level': 'Not Applicable'}, {'Employment type': 'Full-time'}, {'Job function': 'Engineering and Information Technology'}, {'Industries': 'Technology, Information and Internet'}]",2023-11-11,https://www.linkedin.com/jobs/view/data-scientist-small-business-group-at-meta-3763236205?refId=rZcm3IreGPq7J0t3flT77w%3D%3D&trackingId=gkwrSO%2FyAJ0oWgBBdImHTw%3D%3D&position=4&pageNum=0&trk=public_jobs_jserp-result_search-card,Not Applicable,Full-time,Engineering and Information Technology,"Technology, Information and Internet",1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
177,Data Scientist,CVS Health,Nan,onsite,"$73,500.00-$170,000.00","New York, NY","[{'Seniority level': 'Entry level'}, {'Employment type': 'Full-time'}, {'Job function': 'Engineering and Information Technology'}, {'Industries': 'Hospitals and Health Care'}]",2023-11-21,https://www.linkedin.com/jobs/view/data-scientist-at-cvs-health-3763336632?refId=rZcm3IreGPq7J0t3flT77w%3D%3D&trackingId=BWARcU69xlUSzaEfiBEfzQ%3D%3D&position=5&pageNum=0&trk=public_jobs_jserp-result_search-card,Entry level,Full-time,Engineering and Information Technology,Hospitals and Health Care,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
178,Data Scientist,Experfy,Nan,onsite,nan,"Texas City, TX","[{'Seniority level': 'Mid-Senior level'}, {'Employment type': 'Full-time'}, {'Job function': 'Information Technology'}, {'Industries': 'Technology, Information and Internet'}]",2023-10-07,https://www.linkedin.com/jobs/view/data-scientist-at-experfy-3755397901?refId=rZcm3IreGPq7J0t3flT77w%3D%3D&trackingId=GD03FgnKVG%2BHspZTcbznUg%3D%3D&position=6&pageNum=0&trk=public_jobs_jserp-result_search-card,Mid-Senior level,Full-time,Information Technology,"Technology, Information and Internet",1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
179,Data Scientist with AL & ML,Saransh Inc,Nan,onsite,nan,"Los Angeles, CA","[{'Seniority level': 'Mid-Senior level'}, {'Employment type': 'Contract'}, {'Job function': 'Engineering and Information Technology'}, {'Industries': 'IT Services and IT Consulting'}]",2023-10-10,https://www.linkedin.com/jobs/view/data-scientist-with-al-ml-at-saransh-inc-3735366115?refId=rZcm3IreGPq7J0t3flT77w%3D%3D&trackingId=cAfs0bwcAl9ak5TEsJJXuw%3D%3D&position=7&pageNum=0&trk=public_jobs_jserp-result_search-card,Mid-Senior level,Contract,Engineering and Information Technology,IT Services and IT Consulting,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
180,"Data Scientist, Product Analytics",Meta,Nan,onsite,"$109,000.00-$166,000.00","Bellevue, WA","[{'Seniority level': 'Not Applicable'}, {'Employment type': 'Full-time'}, {'Job function': 'Engineering and Information Technology'}, {'Industries': 'Technology, Information and Internet'}]",2023-11-11,https://www.linkedin.com/jobs/view/data-scientist-product-analytics-at-meta-3763233556?refId=rZcm3IreGPq7J0t3flT77w%3D%3D&trackingId=uA6MaY3koqG8vxUOA2gHGw%3D%3D&position=8&pageNum=0&trk=public_jobs_jserp-result_search-card,Not Applicable,Full-time,Engineering and Information Technology,"Technology, Information and Internet",1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
181,Data Scientist,"Aperio Global, LLC",Nan,onsite,nan,"Chantilly, VA","[{'Seniority level': 'Entry level'}, {'Employment type': 'Full-time'}, {'Job function': 'Engineering and Information Technology'}, {'Industries': 'Computer and Network Security'}]",2023-11-20,https://www.linkedin.com/jobs/view/data-scientist-at-aperio-global-llc-3767053766?refId=rZcm3IreGPq7J0t3flT77w%3D%3D&trackingId=mwlSHBhBxwc1a4Ke1T25tg%3D%3D&position=9&pageNum=0&trk=public_jobs_jserp-result_search-card,Entry level,Full-time,Engineering and Information Technology,Computer and Network Security,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
182,"Data Scientist, Product Analytics",Meta,Nan,onsite,"$165,000.00-$232,000.00","Menlo Park, CA","[{'Seniority level': 'Not Applicable'}, {'Employment type': 'Full-time'}, {'Job function': 'Engineering and Information Technology'}, {'Industries': 'Technology, Information and Internet'}]",2023-11-11,https://www.linkedin.com/jobs/view/data-scientist-product-analytics-at-meta-3763235429?refId=rZcm3IreGPq7J0t3flT77w%3D%3D&trackingId=mYptm7CKaLSHlGmKOCsqSg%3D%3D&position=10&pageNum=0&trk=public_jobs_jserp-result_search-card,Not Applicable,Full-time,Engineering and Information Technology,"Technology, Information and Internet",1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
183,Data Scientist - Marketing Analytics,MarketBridge,Nan,onsite,nan,"Washington, DC","[{'Seniority level': 'Mid-Senior level'}, {'Employment type': 'Full-time'}, {'Job function': 'Engineering and Information Technology'}, {'Industries': 'Internet Publishing'}]",2023-10-27,https://www.linkedin.com/jobs/view/data-scientist-marketing-analytics-at-marketbridge-3752271170?refId=rZcm3IreGPq7J0t3flT77w%3D%3D&trackingId=IKQIge91EIl85ELuQRED0g%3D%3D&position=11&pageNum=0&trk=public_jobs_jserp-result_search-card,Mid-Senior level,Full-time,Engineering and Information Technology,Internet Publishing,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
184,Data Scientist,CVS Health,Nan,onsite,"$73,500.00-$170,000.00","New York, NY","[{'Seniority level': 'Entry level'}, {'Employment type': 'Full-time'}, {'Job function': 'Engineering and Information Technology'}, {'Industries': 'Hospitals and Health Care'}]",2023-10-31,https://www.linkedin.com/jobs/view/data-scientist-at-cvs-health-3763340506?refId=rZcm3IreGPq7J0t3flT77w%3D%3D&trackingId=oL8DN2XB2mD%2BlAqthP%2FUWg%3D%3D&position=12&pageNum=0&trk=public_jobs_jserp-result_search-card,Entry level,Full-time,Engineering and Information Technology,Hospitals and Health Care,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
185,Machine Learning Engineer,CINQCARE,Nan,onsite,nan,"Washington, DC","[{'Seniority level': 'Mid-Senior level'}, {'Employment type': 'Full-time'}, {'Job function': 'Engineering and Information Technology'}, {'Industries': 'Internet Publishing'}]",2023-10-17,https://www.linkedin.com/jobs/view/machine-learning-engineer-at-cinqcare-3741803156?refId=rZcm3IreGPq7J0t3flT77w%3D%3D&trackingId=6BSGTIHjL9bzzbPpHVn2gw%3D%3D&position=13&pageNum=0&trk=public_jobs_jserp-result_search-card,Mid-Senior level,Full-time,Engineering and Information Technology,Internet Publishing,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
186,Data Scientist,Saransh Inc,Nan,onsite,nan,"Auburn Hills, MI","[{'Seniority level': 'Mid-Senior level'}, {'Employment type': 'Contract'}, {'Job function': 'Engineering and Information Technology'}, {'Industries': 'Information Services and IT Services and IT Consulting'}]",2023-11-21,https://www.linkedin.com/jobs/view/data-scientist-at-saransh-inc-3766095677?refId=rZcm3IreGPq7J0t3flT77w%3D%3D&trackingId=Z2U8gtM%2Bu%2BES6p8VcSmKuQ%3D%3D&position=14&pageNum=0&trk=public_jobs_jserp-result_search-card,Mid-Senior level,Contract,Engineering and Information Technology,Information Services and IT Services and IT Consulting,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
187,Data Scientist with AI/ML,Cloud BC Labs,Nan,onsite,nan,"Reston, VA","[{'Seniority level': 'Mid-Senior level'}, {'Employment type': 'Contract'}, {'Job function': 'Engineering and Information Technology'}, {'Industries': 'IT Services and IT Consulting'}]",2023-11-02,https://www.linkedin.com/jobs/view/data-scientist-with-ai-ml-at-cloud-bc-labs-3752496631?refId=rZcm3IreGPq7J0t3flT77w%3D%3D&trackingId=g48zoas6ubIeQJMqxUBv%2FQ%3D%3D&position=15&pageNum=0&trk=public_jobs_jserp-result_search-card,Mid-Senior level,Contract,Engineering and Information Technology,IT Services and IT Consulting,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
188,Data Scientist,STEMBoard,Nan,onsite,nan,"Tampa, FL","[{'Seniority level': 'Entry level'}, {'Employment type': 'Full-time'}, {'Job function': 'Information Technology'}, {'Industries': 'Technology, Information and Internet'}]",2023-10-23,https://www.linkedin.com/jobs/view/data-scientist-at-stemboard-3746740797?refId=rZcm3IreGPq7J0t3flT77w%3D%3D&trackingId=rCQVBfvBmAdHc6nXD%2FzYPw%3D%3D&position=16&pageNum=0&trk=public_jobs_jserp-result_search-card,Entry level,Full-time,Information Technology,"Technology, Information and Internet",1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
189,"Data Scientist, Product Analytics",Meta,Nan,onsite,"$165,000.00-$232,000.00","Seattle, WA","[{'Seniority level': 'Not Applicable'}, {'Employment type': 'Full-time'}, {'Job function': 'Engineering and Information Technology'}, {'Industries': 'Technology, Information and Internet'}]",2023-11-11,https://www.linkedin.com/jobs/view/data-scientist-product-analytics-at-meta-3763232625?refId=rZcm3IreGPq7J0t3flT77w%3D%3D&trackingId=lOysGwcmqgeZ5DmS3Lhzow%3D%3D&position=17&pageNum=0&trk=public_jobs_jserp-result_search-card,Not Applicable,Full-time,Engineering and Information Technology,"Technology, Information and Internet",1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
190,Data Scientist,"Global Dimensions, LLC",Nan,onsite,nan,"Tampa, FL","[{'Seniority level': 'Mid-Senior level'}, {'Employment type': 'Full-time'}, {'Job function': 'Engineering and Information Technology'}, {'Industries': 'Technology, Information and Internet'}]",2023-10-13,https://www.linkedin.com/jobs/view/data-scientist-at-global-dimensions-llc-3739543379?refId=rZcm3IreGPq7J0t3flT77w%3D%3D&trackingId=GdxGb%2FZ8lCpLV9Ylq%2BeVMA%3D%3D&position=18&pageNum=0&trk=public_jobs_jserp-result_search-card,Mid-Senior level,Full-time,Engineering and Information Technology,"Technology, Information and Internet",1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
191,"Data Scientist, Sr. (Full time remote)",Lockheed Martin,Nan,onsite,nan,"Moorestown, NJ","[{'Seniority level': 'Mid-Senior level'}, {'Employment type': 'Full-time'}, {'Job function': 'Engineering and Information Technology'}, {'Industries': 'Defense and Space Manufacturing'}]",2023-11-15,https://www.linkedin.com/jobs/view/data-scientist-sr-full-time-remote-at-lockheed-martin-3766159700?refId=rZcm3IreGPq7J0t3flT77w%3D%3D&trackingId=UhzNBJyt0nF%2F9%2FbrXB1WOg%3D%3D&position=19&pageNum=0&trk=public_jobs_jserp-result_search-card,Mid-Senior level,Full-time,Engineering and Information Technology,Defense and Space Manufacturing,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
192,Machine Learning Ops Engineer at AI image-to-image startup,Ponce AI,Nan,onsite,nan,"San Francisco, CA","[{'Seniority level': 'Entry level'}, {'Employment type': 'Full-time'}, {'Job function': 'Engineering and Information Technology'}, {'Industries': 'Technology, Information and Internet'}]",2023-11-05,https://www.linkedin.com/jobs/view/machine-learning-ops-engineer-at-ai-image-to-image-startup-at-ponce-ai-3758535970?refId=rZcm3IreGPq7J0t3flT77w%3D%3D&trackingId=sQYQCeNCf3N4lGJ1Ky4iEQ%3D%3D&position=20&pageNum=0&trk=public_jobs_jserp-result_search-card,Entry level,Full-time,Engineering and Information Technology,"Technology, Information and Internet",1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
193,Machine Learning Engineer,Rezo Therapeutics,Nan,onsite,nan,"San Francisco, CA","[{'Seniority level': 'Not Applicable'}, {'Employment type': 'Full-time'}, {'Job function': 'Engineering and Information Technology'}, {'Industries': 'Transportation, Logistics, Supply Chain and Storage'}]",2023-11-20,https://www.linkedin.com/jobs/view/machine-learning-engineer-at-rezo-therapeutics-3762685839?refId=rZcm3IreGPq7J0t3flT77w%3D%3D&trackingId=WqdQiBB%2FI9vLy7GtVXPZ3w%3D%3D&position=21&pageNum=0&trk=public_jobs_jserp-result_search-card,Not Applicable,Full-time,Engineering and Information Technology,"Transportation, Logistics, Supply Chain and Storage",0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
194,Data Scientist,Lockheed Martin,Nan,onsite,nan,"Bethesda, MD","[{'Seniority level': 'Entry level'}, {'Employment type': 'Full-time'}, {'Job function': 'Engineering and Information Technology'}, {'Industries': 'Defense and Space Manufacturing'}]",2023-11-06,https://www.linkedin.com/jobs/view/data-scientist-at-lockheed-martin-3763640658?refId=rZcm3IreGPq7J0t3flT77w%3D%3D&trackingId=9NZd%2FDP4OoI61a8xVfAbrg%3D%3D&position=22&pageNum=0&trk=public_jobs_jserp-result_search-card,Entry level,Full-time,Engineering and Information Technology,Defense and Space Manufacturing,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
195,Data Scientist,FreedomRoads,Nan,onsite,nan,"Lincolnshire, IL","[{'Seniority level': 'Entry level'}, {'Employment type': 'Full-time'}, {'Job function': 'Engineering and Information Technology'}, {'Industries': 'Recreational Facilities'}]",2023-11-21,https://www.linkedin.com/jobs/view/data-scientist-at-freedomroads-3766065104?refId=rZcm3IreGPq7J0t3flT77w%3D%3D&trackingId=a4AO9wCNBgkX1ePDg%2B%2FOlQ%3D%3D&position=23&pageNum=0&trk=public_jobs_jserp-result_search-card,Entry level,Full-time,Engineering and Information Technology,Recreational Facilities,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
196,"Data Scientist, Product Analytics - Monetization",Meta,Nan,onsite,"$165,000.00-$232,000.00","New York, NY","[{'Seniority level': 'Not Applicable'}, {'Employment type': 'Full-time'}, {'Job function': 'Engineering and Information Technology'}, {'Industries': 'Technology, Information and Internet'}]",2023-11-13,https://www.linkedin.com/jobs/view/data-scientist-product-analytics-monetization-at-meta-3763232687?refId=rZcm3IreGPq7J0t3flT77w%3D%3D&trackingId=RfK5guh32gayLxXwkU4CgQ%3D%3D&position=24&pageNum=0&trk=public_jobs_jserp-result_search-card,Not Applicable,Full-time,Engineering and Information Technology,"Technology, Information and Internet",1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
